model,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_giam,recall_giam,f1_giam,precision_tang,recall_tang,f1_tang,fold,train_from,train_to,test_from,test_to,train_size,test_size
Random Walk,0.48942329102649745,0.48918027161634936,0.4890337533470893,0.48918027161634936,0.49509594882729213,0.5114537444933921,0.5031419284940412,0.4832246039142591,0.4669067987393066,0.4749255782001374,1,2025-05-21 10:45:00+00:00,2025-07-22 15:30:00+00:00,2025-07-22 22:00:00+00:00,2025-09-25 13:30:00+00:00,4476,4491
Random Walk,0.5128033845468715,0.512706390084946,0.5126525826718855,0.5127063900849459,0.5158077089649199,0.5267580716497126,0.5212253829321662,0.5096241979835013,0.49865470852017935,0.5040797824116047,2,2025-05-21 10:45:00+00:00,2025-09-25 08:00:00+00:00,2025-09-25 13:45:00+00:00,2025-11-22 22:30:00+00:00,8967,4491
Random Walk,0.4613671788020485,0.46062567539649746,0.46063026508668037,0.46062567539649746,0.4391705069124424,0.4422273781902552,0.4406936416184971,0.48211977595863853,0.4790239726027397,0.4805668885548636,3,2025-05-21 10:45:00+00:00,2025-11-22 18:30:00+00:00,2025-11-22 22:45:00+00:00,2026-01-25 01:30:00+00:00,13458,4491
Random Walk,0.4847472723224226,0.4842760520196434,0.48426734037666513,0.4842760520196434,0.5026064291920069,0.49742046431642306,0.5,0.4659661946094107,0.47113163972286376,0.46853468075333027,4,2025-05-21 10:45:00+00:00,2026-01-24 21:30:00+00:00,2026-01-25 01:45:00+00:00,2026-03-20 06:45:00+00:00,17949,4491
Random Walk,0.46203518147405925,0.462051097548495,0.4620338745062232,0.462051097548495,0.4583333333333333,0.46409335727109513,0.46119536128456734,0.4657718120805369,0.46000883782589486,0.46287238772787903,5,2025-05-21 10:45:00+00:00,2026-03-20 01:30:00+00:00,2026-03-20 07:00:00+00:00,2026-05-20 06:00:00+00:00,22440,4491
Logistic Regression,0.5107993765308395,0.5145096763572388,0.449188601154341,0.5591813823594166,0.5507649513212796,0.17444933920704847,0.26497156239545,0.5031813361611877,0.8545700135074291,0.6334056399132321,1,2025-05-21 10:45:00+00:00,2025-07-22 15:30:00+00:00,2025-07-22 22:00:00+00:00,2025-09-25 13:30:00+00:00,4476,4491
Logistic Regression,0.5016700066800267,0.5037274669131282,0.45431384276198516,0.49751607983292445,0.5126791620727673,0.20566121185316233,0.2935606060606061,0.49888392857142855,0.8017937219730942,0.6150670794633643,2,2025-05-21 10:45:00+00:00,2025-09-25 08:00:00+00:00,2025-09-25 13:45:00+00:00,2025-11-22 22:30:00+00:00,8967,4491
Logistic Regression,0.49988866622133155,0.5034255514413756,0.4976017658175872,0.5206850109652608,0.4827586206896552,0.5911832946635731,0.5314977054651648,0.5242980561555075,0.4156678082191781,0.46370582617000955,3,2025-05-21 10:45:00+00:00,2025-11-22 18:30:00+00:00,2025-11-22 22:45:00+00:00,2026-01-25 01:30:00+00:00,13458,4491
Logistic Regression,0.48318859942106435,0.4959274513035691,0.41672468954287223,0.5488217340278287,0.5038520801232665,0.14058469475494412,0.21983193277310925,0.47969807391983343,0.851270207852194,0.6136174463126353,4,2025-05-21 10:45:00+00:00,2026-01-24 21:30:00+00:00,2026-01-25 01:45:00+00:00,2026-03-20 06:45:00+00:00,17949,4491
Logistic Regression,0.5290581162324649,0.5290659552507713,0.5290535396478289,0.5366819358488082,0.5251222765673633,0.5300718132854578,0.5275854366763457,0.5330062444246209,0.5280600972160848,0.5305216426193119,5,2025-05-21 10:45:00+00:00,2026-03-20 01:30:00+00:00,2026-03-20 07:00:00+00:00,2026-05-20 06:00:00+00:00,22440,4491
Random Forest,0.486083277666444,0.4879999087603909,0.4707258876903507,0.4897797753522147,0.48695054945054944,0.31233480176211453,0.38056897477187335,0.485667215815486,0.6636650157586673,0.560882800608828,1,2025-05-21 10:45:00+00:00,2025-07-22 15:30:00+00:00,2025-07-22 22:00:00+00:00,2025-09-25 13:30:00+00:00,4476,4491
Random Forest,0.46693386773547096,0.4678399374854969,0.4580498603318726,0.47105639990242026,0.4598187311178248,0.3365767359575409,0.38866189989785493,0.4710860366713681,0.5991031390134529,0.5274378207658903,2,2025-05-21 10:45:00+00:00,2025-09-25 08:00:00+00:00,2025-09-25 13:45:00+00:00,2025-11-22 22:30:00+00:00,8967,4491
Random Forest,0.48920062346916054,0.49906616501922896,0.4620461594694794,0.5413467803451674,0.47922272047832587,0.7438515081206497,0.5829090909090909,0.518324607329843,0.2542808219178082,0.3411832280298679,3,2025-05-21 10:45:00+00:00,2025-11-22 18:30:00+00:00,2025-11-22 22:45:00+00:00,2026-01-25 01:30:00+00:00,13458,4491
Random Forest,0.4814072589623692,0.49796437103215185,0.35407213405508353,0.4997437343495261,0.49122807017543857,0.03611349957007739,0.06728073688426112,0.4810185185185185,0.9598152424942263,0.6408635312259059,4,2025-05-21 10:45:00+00:00,2026-01-24 21:30:00+00:00,2026-01-25 01:45:00+00:00,2026-03-20 06:45:00+00:00,17949,4491
Random Forest,0.5335114673792029,0.5362407387280036,0.47005984229615977,0.5394635899819991,0.5174220592088027,0.8864452423698385,0.6534325889164598,0.6246290801186943,0.18603623508616882,0.2866870956758597,5,2025-05-21 10:45:00+00:00,2026-03-20 01:30:00+00:00,2026-03-20 07:00:00+00:00,2026-05-20 06:00:00+00:00,22440,4491
